Head west, continue for 68.3 meters and taking about 49.2 seconds.
Turn right onto Corktown Common Trail on Corktown Common Trail, continue for 8.9 meters and taking about 6.4 seconds.
Turn left, continue for 14.0 meters and taking about 10.1 seconds.
Turn right, continue for 20.2 meters and taking about 14.6 seconds.
Turn left, continue for 3.4 meters and taking about 2.5 seconds.
Turn right, continue for 280.4 meters and taking about 201.9 seconds.
Turn right, continue for 3.9 meters and taking about 2.8 seconds.
Turn left, continue for 17.9 meters and taking about 12.9 seconds.
Turn left, continue for 3.6 meters and taking about 2.6 seconds.
Keep right, continue for 36.7 meters and taking about 26.4 seconds.
Turn slight right, continue for 3.1 meters and taking about 2.2 seconds.
Keep left, continue for 18.2 meters and taking about 13.1 seconds.
Turn left, continue for 2.2 meters and taking about 1.6 seconds.
Turn right, continue for 444.8 meters and taking about 320.3 seconds.
Turn right, continue for 142.3 meters and taking about 102.5 seconds.
Turn right, continue for 7.8 meters and taking about 5.6 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
