Head east, continue for 240.7 meters and taking about 173.3 seconds.
Keep left, continue for 11.2 meters and taking about 8.0 seconds.
Turn slight left, continue for 104.2 meters and taking about 75.0 seconds.
Keep left, continue for 272.1 meters and taking about 195.9 seconds.
Keep left, continue for 121.8 meters and taking about 87.7 seconds.
Turn right, continue for 59.7 meters and taking about 43.0 seconds.
Turn left, continue for 386.1 meters and taking about 278.0 seconds.
Keep left, continue for 86.2 meters and taking about 62.1 seconds.
Turn left, continue for 70.2 meters and taking about 50.6 seconds.
Turn left, continue for 97.2 meters and taking about 69.9 seconds.
Turn right, continue for 17.3 meters and taking about 12.5 seconds.
Turn left, continue for 20.6 meters and taking about 14.8 seconds.
Keep right, continue for 49.6 meters and taking about 35.7 seconds.
Turn right, continue for 46.3 meters and taking about 33.3 seconds.
Turn left, continue for 7.4 meters and taking about 5.3 seconds.
Turn right, continue for 6.8 meters and taking about 4.9 seconds.
Turn left, continue for 132.2 meters and taking about 95.2 seconds.
Turn right, continue for 63.5 meters and taking about 45.7 seconds.
Turn right, continue for 41.5 meters and taking about 29.9 seconds.
Turn left, continue for 46.6 meters and taking about 33.6 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
