Head east, continue for 62.2 meters and taking about 44.8 seconds.
Turn right, continue for 445.2 meters and taking about 320.5 seconds.
Keep right, continue for 19.4 meters and taking about 14.0 seconds.
Turn sharp left, continue for 41.2 meters and taking about 29.7 seconds.
Turn right, continue for 16.8 meters and taking about 12.1 seconds.
Keep left, continue for 105.7 meters and taking about 76.1 seconds.
Turn left, continue for 20.6 meters and taking about 14.9 seconds.
Turn right, continue for 4.8 meters and taking about 3.5 seconds.
Turn left onto Indian Grove on Indian Grove, continue for 35.9 meters and taking about 25.9 seconds.
Turn right, continue for 306.1 meters and taking about 220.4 seconds.
Keep left, continue for 21.5 meters and taking about 15.5 seconds.
Turn left, continue for 22.9 meters and taking about 16.5 seconds.
Turn right, continue for 234.3 meters and taking about 168.7 seconds.
Turn right, continue for 17.4 meters and taking about 12.5 seconds.
Turn left, continue for 2.2 meters and taking about 1.6 seconds.
Turn left, continue for 5.9 meters and taking about 4.2 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
