Head south, continue for 8.5 meters and taking about 6.1 seconds.
Turn right, continue for 17.7 meters and taking about 12.8 seconds.
Turn left, continue for 310.6 meters and taking about 223.6 seconds.
Turn right, continue for 100.6 meters and taking about 72.4 seconds.
Turn left, continue for 103.0 meters and taking about 74.2 seconds.
Keep right, continue for 36.1 meters and taking about 26.0 seconds.
Keep right, continue for 33.3 meters and taking about 23.9 seconds.
Turn right onto Lane East Vaughan South Maplewood on Lane East Vaughan South Maplewood, continue for 163.1 meters and taking about 117.4 seconds.
Turn right, continue for 51.1 meters and taking about 36.8 seconds.
Keep left, continue for 15.5 meters and taking about 11.2 seconds.
Turn left, continue for 175.7 meters and taking about 126.5 seconds.
Turn right, continue for 45.2 meters and taking about 32.6 seconds.
Turn left, continue for 8.8 meters and taking about 6.4 seconds.
Turn right, continue for 45.6 meters and taking about 32.8 seconds.
Turn slight left, continue for 135.6 meters and taking about 97.6 seconds.
Turn right, continue for 5.0 meters and taking about 3.6 seconds.
Turn left onto Kenwood Avenue on Kenwood Avenue, continue for 12.4 meters and taking about 8.9 seconds.
Turn right, continue for 100.7 meters and taking about 72.5 seconds.
Turn left onto Wychwood Avenue on Wychwood Avenue, continue for 31.3 meters and taking about 22.6 seconds.
Turn right, continue for 12.0 meters and taking about 8.6 seconds.
Turn left, continue for 26.7 meters and taking about 19.2 seconds.
Turn right, continue for 3.3 meters and taking about 2.4 seconds.
Keep left, continue for 134.3 meters and taking about 96.7 seconds.
Turn right onto Hocken Avenue on Hocken Avenue, continue for 7.3 meters and taking about 5.2 seconds.
Turn left onto Wychwood Avenue on Wychwood Avenue, continue for 43.7 meters and taking about 31.5 seconds.
Turn right, continue for 6.1 meters and taking about 4.4 seconds.
Keep left, continue for 24.8 meters and taking about 17.9 seconds.
Turn right, continue for 80.6 meters and taking about 58.0 seconds.
Turn right, continue for 75.8 meters and taking about 54.5 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
