Head south, continue for 100.8 meters and taking about 72.6 seconds.
Turn left onto Regent Road on Regent Road, continue for 6.8 meters and taking about 4.9 seconds.
Turn right onto Maniza Road on Maniza Road, continue for 9.3 meters and taking about 6.7 seconds.
Turn left, continue for 7.6 meters and taking about 5.4 seconds.
Turn right, continue for 79.0 meters and taking about 56.9 seconds.
Turn left, continue for 44.8 meters and taking about 32.2 seconds.
Turn right, continue for 14.5 meters and taking about 10.5 seconds.
Turn left onto Wilson Avenue on Wilson Avenue, continue for 9.1 meters and taking about 6.5 seconds.
Turn right, continue for 8.8 meters and taking about 6.3 seconds.
Turn left, continue for 247.8 meters and taking about 178.4 seconds.
Turn right, continue for 333.4 meters and taking about 240.0 seconds.
Turn left, continue for 199.4 meters and taking about 143.6 seconds.
Keep left, continue for 24.7 meters and taking about 17.8 seconds.
Turn right, continue for 289.0 meters and taking about 208.1 seconds.
Turn right, continue for 5.0 meters and taking about 3.6 seconds.
Turn left onto Bridgeland Avenue on Bridgeland Avenue, continue for 297.9 meters and taking about 214.5 seconds.
Turn left, continue for 48.2 meters and taking about 34.7 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
