Head north, continue for 3.6 meters and taking about 2.6 seconds.
Turn left, continue for 162.6 meters and taking about 117.1 seconds.
Turn right, continue for 2.3 meters and taking about 1.7 seconds.
Turn left, continue for 16.9 meters and taking about 12.2 seconds.
Turn left, continue for 11.8 meters and taking about 8.5 seconds.
Turn right, continue for 86.6 meters and taking about 62.3 seconds.
Turn slight left onto Trinity Circle on Trinity Circle, continue for 48.3 meters and taking about 34.8 seconds.
Turn left, continue for 6.0 meters and taking about 4.3 seconds.
Turn right, continue for 38.7 meters and taking about 27.9 seconds.
Turn left, continue for 124.9 meters and taking about 89.9 seconds.
Turn right, continue for 223.3 meters and taking about 160.8 seconds.
Turn left, continue for 145.9 meters and taking about 105.0 seconds.
Keep left, continue for 231.1 meters and taking about 166.4 seconds.
Turn slight right, continue for 298.0 meters and taking about 214.5 seconds.
Turn right, continue for 20.8 meters and taking about 15.0 seconds.
Turn left, continue for 92.3 meters and taking about 66.4 seconds.
Turn right onto Coolmine Road on Coolmine Road, continue for 216.3 meters and taking about 155.7 seconds.
Arrive at Coolmine Road, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
