Head west, continue for 9.0 meters and taking about 6.5 seconds.
Turn left, continue for 77.3 meters and taking about 55.7 seconds.
Turn left, continue for 477.7 meters and taking about 343.9 seconds.
Turn right onto Walmer Road on Walmer Road, continue for 18.3 meters and taking about 13.2 seconds.
Turn left, continue for 9.0 meters and taking about 6.5 seconds.
Turn slight right, continue for 130.6 meters and taking about 94.0 seconds.
Turn right, continue for 223.5 meters and taking about 160.9 seconds.
Turn left, continue for 167.0 meters and taking about 120.2 seconds.
Turn right, continue for 11.1 meters and taking about 8.0 seconds.
Turn left, continue for 27.9 meters and taking about 20.1 seconds.
Keep left, continue for 54.8 meters and taking about 39.5 seconds.
Keep right, continue for 43.2 meters and taking about 31.1 seconds.
Turn slight right, continue for 35.7 meters and taking about 25.7 seconds.
Turn left, continue for 7.8 meters and taking about 5.6 seconds.
Turn right, continue for 79.5 meters and taking about 57.2 seconds.
Turn sharp left, continue for 17.5 meters and taking about 12.6 seconds.
Turn sharp right, continue for 22.5 meters and taking about 16.2 seconds.
Turn left, continue for 66.4 meters and taking about 47.8 seconds.
Turn right, continue for 41.1 meters and taking about 29.6 seconds.
Turn right, continue for 44.0 meters and taking about 31.7 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
