Head west, continue for 33.5 meters and taking about 24.1 seconds.
Turn left, continue for 30.3 meters and taking about 21.8 seconds.
Turn right, continue for 16.4 meters and taking about 11.8 seconds.
Turn right, continue for 1.0 meters and taking about 0.7 seconds.
Turn left, continue for 331.5 meters and taking about 238.6 seconds.
Turn right, continue for 11.9 meters and taking about 8.6 seconds.
Turn right, continue for 1.7 meters and taking about 1.3 seconds.
Turn left, continue for 240.5 meters and taking about 173.2 seconds.
Keep left, continue for 22.2 meters and taking about 16.0 seconds.
Keep left, continue for 141.9 meters and taking about 102.2 seconds.
Keep right, continue for 89.2 meters and taking about 64.2 seconds.
Keep left, continue for 498.6 meters and taking about 359.0 seconds.
Keep left, continue for 20.7 meters and taking about 14.9 seconds.
Turn right, continue for 176.1 meters and taking about 126.8 seconds.
Turn slight left, continue for 4.2 meters and taking about 3.0 seconds.
Turn sharp right, continue for 38.0 meters and taking about 27.4 seconds.
Turn left, continue for 66.9 meters and taking about 48.2 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
