Head west, continue for 36.0 meters and taking about 25.9 seconds.
Turn right, continue for 161.8 meters and taking about 116.5 seconds.
Turn slight left, continue for 230.1 meters and taking about 165.7 seconds.
Keep left, continue for 15.0 meters and taking about 10.8 seconds.
Keep left, continue for 267.2 meters and taking about 192.4 seconds.
Keep left, continue for 314.9 meters and taking about 226.7 seconds.
Turn right, continue for 4.3 meters and taking about 3.1 seconds.
Turn left, continue for 18.6 meters and taking about 13.4 seconds.
Turn slight left, continue for 676.0 meters and taking about 486.7 seconds.
Turn right, continue for 4.7 meters and taking about 3.4 seconds.
Turn left, continue for 17.1 meters and taking about 12.3 seconds.
Turn slight left, continue for 193.6 meters and taking about 139.4 seconds.
Turn right, continue for 43.9 meters and taking about 31.6 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
