Head east, continue for 3.0 meters and taking about 2.2 seconds.
Turn left, continue for 14.3 meters and taking about 10.3 seconds.
Turn left, continue for 168.5 meters and taking about 121.4 seconds.
Turn right, continue for 5.6 meters and taking about 4.0 seconds.
Turn right onto Mendel Avenue on Mendel Avenue, continue for 47.8 meters and taking about 34.4 seconds.
Turn left, continue for 150.1 meters and taking about 108.1 seconds.
Turn right, continue for 159.0 meters and taking about 114.5 seconds.
Turn right, continue for 34.4 meters and taking about 24.8 seconds.
Turn left, continue for 14.0 meters and taking about 10.1 seconds.
Turn right, continue for 33.6 meters and taking about 24.2 seconds.
Turn left, continue for 96.9 meters and taking about 69.8 seconds.
Turn right, continue for 5.3 meters and taking about 3.8 seconds.
Turn left onto Keystone Avenue on Keystone Avenue, continue for 61.5 meters and taking about 44.3 seconds.
Turn right, continue for 5.9 meters and taking about 4.2 seconds.
Turn left, continue for 1.1 meters and taking about 0.8 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
