Head east, continue for 134.1 meters and taking about 96.5 seconds.
Turn left, continue for 5.8 meters and taking about 4.2 seconds.
Turn right onto Tecumseth Street on Tecumseth Street, continue for 10.1 meters and taking about 7.3 seconds.
Turn left, continue for 7.0 meters and taking about 5.0 seconds.
Turn right, continue for 41.5 meters and taking about 29.9 seconds.
Turn left, continue for 104.9 meters and taking about 75.5 seconds.
Turn right, continue for 70.7 meters and taking about 50.9 seconds.
Turn left, continue for 80.4 meters and taking about 57.9 seconds.
Turn left, continue for 65.7 meters and taking about 47.3 seconds.
Turn sharp right, continue for 82.4 meters and taking about 59.3 seconds.
Turn left, continue for 22.7 meters and taking about 16.3 seconds.
Turn right, continue for 4.6 meters and taking about 3.3 seconds.
Keep right, continue for 345.8 meters and taking about 248.9 seconds.
Turn left, continue for 4.8 meters and taking about 3.4 seconds.
Turn right, continue for 26.6 meters and taking about 19.1 seconds.
Turn slight right, continue for 5.6 meters and taking about 4.0 seconds.
Turn slight left, continue for 245.6 meters and taking about 176.8 seconds.
Keep right, continue for 25.8 meters and taking about 18.5 seconds.
Turn right, continue for 2.6 meters and taking about 1.9 seconds.
Keep left, continue for 101.2 meters and taking about 72.9 seconds.
Turn right, continue for 157.6 meters and taking about 113.5 seconds.
Turn left, continue for 7.4 meters and taking about 5.3 seconds.
Turn right onto Queens Quay West on Queens Quay West, continue for 73.4 meters and taking about 52.9 seconds.
Turn left, continue for 9.1 meters and taking about 6.6 seconds.
Turn right, continue for 7.1 meters and taking about 5.1 seconds.
Turn left onto Stadium Road on Stadium Road, continue for 27.5 meters and taking about 19.8 seconds.
Turn right, continue for 4.7 meters and taking about 3.4 seconds.
Turn left, continue for 49.4 meters and taking about 35.6 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
