Head west, continue for 97.4 meters and taking about 70.1 seconds.
Turn right, continue for 17.3 meters and taking about 12.5 seconds.
Turn left, continue for 85.3 meters and taking about 61.4 seconds.
Turn right, continue for 151.0 meters and taking about 108.7 seconds.
Turn left, continue for 3.2 meters and taking about 2.3 seconds.
Turn slight left, continue for 23.8 meters and taking about 17.1 seconds.
Turn right, continue for 279.3 meters and taking about 201.1 seconds.
Turn left, continue for 52.1 meters and taking about 37.5 seconds.
Turn right, continue for 88.4 meters and taking about 63.7 seconds.
Turn left, continue for 523.9 meters and taking about 377.2 seconds.
Turn right, continue for 18.3 meters and taking about 13.2 seconds.
Turn left, continue for 205.3 meters and taking about 147.8 seconds.
Keep left, continue for 30.3 meters and taking about 21.8 seconds.
Turn right, continue for 73.9 meters and taking about 53.2 seconds.
Turn left, continue for 2.7 meters and taking about 1.9 seconds.
Turn right, continue for 57.7 meters and taking about 41.6 seconds.
Turn left, continue for 10.6 meters and taking about 7.6 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
