Head west, continue for 3.9 meters and taking about 2.8 seconds.
Turn left onto Boston Avenue on Boston Avenue, continue for 39.4 meters and taking about 28.4 seconds.
Turn right, continue for 1015.5 meters and taking about 731.1 seconds.
Turn right, continue for 43.2 meters and taking about 31.1 seconds.
Turn left, continue for 8.6 meters and taking about 6.2 seconds.
Turn right, continue for 24.3 meters and taking about 17.5 seconds.
Turn left, continue for 65.8 meters and taking about 47.4 seconds.
Turn right, continue for 4.8 meters and taking about 3.5 seconds.
Turn left onto Thompson Street on Thompson Street, continue for 31.2 meters and taking about 22.4 seconds.
Turn right, continue for 23.7 meters and taking about 17.1 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
