Head west, continue for 12.2 meters and taking about 8.8 seconds.
Turn left, continue for 46.8 meters and taking about 33.7 seconds.
Turn right onto Sandford Avenue on Sandford Avenue, continue for 153.8 meters and taking about 110.7 seconds.
Turn left onto Prust Avenue on Prust Avenue, continue for 61.4 meters and taking about 44.2 seconds.
Turn right, continue for 103.0 meters and taking about 74.1 seconds.
Turn left, continue for 37.8 meters and taking about 27.2 seconds.
Turn right, continue for 111.8 meters and taking about 80.5 seconds.
Turn right, continue for 45.3 meters and taking about 32.6 seconds.
Turn right, continue for 41.3 meters and taking about 29.8 seconds.
Turn left, continue for 14.5 meters and taking about 10.4 seconds.
Turn right, continue for 57.9 meters and taking about 41.7 seconds.
Turn right, continue for 19.7 meters and taking about 14.2 seconds.
Turn right, continue for 2.1 meters and taking about 1.5 seconds.
Turn slight left, continue for 13.5 meters and taking about 9.7 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
