Head north, continue for 200.7 meters and taking about 144.5 seconds.
Turn left, continue for 5.6 meters and taking about 4.0 seconds.
Turn right, continue for 132.2 meters and taking about 95.1 seconds.
Turn right, continue for 29.7 meters and taking about 21.4 seconds.
Turn left, continue for 4.9 meters and taking about 3.6 seconds.
Turn right, continue for 77.4 meters and taking about 55.7 seconds.
Keep left, continue for 39.9 meters and taking about 28.7 seconds.
Keep left, continue for 144.9 meters and taking about 104.3 seconds.
Turn left, continue for 49.4 meters and taking about 35.6 seconds.
Turn left, continue for 24.8 meters and taking about 17.8 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
