Head south, continue for 39.5 meters and taking about 28.5 seconds.
Turn left onto Rebecca Street on Rebecca Street, continue for 39.5 meters and taking about 28.5 seconds.
Turn right onto Givins Street on Givins Street, continue for 105.5 meters and taking about 76.0 seconds.
Turn left, continue for 90.8 meters and taking about 65.4 seconds.
Turn slight right, continue for 356.6 meters and taking about 256.8 seconds.
Turn right, continue for 110.6 meters and taking about 79.7 seconds.
Keep left, continue for 63.0 meters and taking about 45.4 seconds.
Keep left, continue for 19.6 meters and taking about 14.1 seconds.
Turn slight left, continue for 1.8 meters and taking about 1.3 seconds.
Keep left, continue for 16.1 meters and taking about 11.6 seconds.
Turn right, continue for 305.5 meters and taking about 219.9 seconds.
Keep left, continue for 64.7 meters and taking about 46.6 seconds.
Keep right, continue for 50.6 meters and taking about 36.4 seconds.
Turn right, continue for 5.2 meters and taking about 3.8 seconds.
Turn right onto Atlantic Avenue on Atlantic Avenue, continue for 1.8 meters and taking about 1.3 seconds.
Turn left, continue for 5.7 meters and taking about 4.1 seconds.
Turn left, continue for 88.4 meters and taking about 63.7 seconds.
Turn right, continue for 70.4 meters and taking about 50.7 seconds.
Turn left, continue for 25.8 meters and taking about 18.6 seconds.
Turn left, continue for 191.4 meters and taking about 137.8 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
