Head west, continue for 150.7 meters and taking about 108.5 seconds.
Turn left onto Frankdale Avenue on Frankdale Avenue, continue for 206.7 meters and taking about 148.8 seconds.
Turn right, continue for 6.5 meters and taking about 4.7 seconds.
Turn left, continue for 236.7 meters and taking about 170.5 seconds.
Turn slight right, continue for 107.3 meters and taking about 77.2 seconds.
Turn left, continue for 90.2 meters and taking about 64.9 seconds.
Keep right, continue for 11.7 meters and taking about 8.5 seconds.
Turn slight right, continue for 49.4 meters and taking about 35.6 seconds.
Turn slight left, continue for 25.3 meters and taking about 18.2 seconds.
Turn right, continue for 115.8 meters and taking about 83.4 seconds.
Turn left, continue for 63.5 meters and taking about 45.7 seconds.
Turn right, continue for 56.8 meters and taking about 40.9 seconds.
Turn right, continue for 35.1 meters and taking about 25.3 seconds.
Turn sharp left, continue for 15.2 meters and taking about 10.9 seconds.
Turn slight left, continue for 7.2 meters and taking about 5.2 seconds.
Turn right, continue for 12.1 meters and taking about 8.7 seconds.
Turn right, continue for 41.4 meters and taking about 29.8 seconds.
Turn right onto Chan Lane on Chan Lane, continue for 15.5 meters and taking about 11.1 seconds.
Turn left, continue for 36.2 meters and taking about 26.1 seconds.
Turn right, continue for 237.6 meters and taking about 171.1 seconds.
Turn left, continue for 9.8 meters and taking about 7.1 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
