Head south, continue for 105.4 meters and taking about 75.9 seconds.
Keep left, continue for 459.4 meters and taking about 330.8 seconds.
Turn right, continue for 63.8 meters and taking about 46.0 seconds.
Turn left, continue for 8.2 meters and taking about 5.9 seconds.
Turn right, continue for 29.9 meters and taking about 21.5 seconds.
Turn left, continue for 84.6 meters and taking about 60.9 seconds.
Turn right onto Soho Place on Soho Place, continue for 5.0 meters and taking about 3.6 seconds.
Turn left onto Soho Street on Soho Street, continue for 41.1 meters and taking about 29.6 seconds.
Turn right, continue for 5.5 meters and taking about 4.0 seconds.
Turn left, continue for 6.5 meters and taking about 4.6 seconds.
Turn left, continue for 381.4 meters and taking about 274.6 seconds.
Turn slight right, continue for 480.1 meters and taking about 345.7 seconds.
Keep left, continue for 23.0 meters and taking about 16.5 seconds.
Keep left, continue for 129.6 meters and taking about 93.3 seconds.
Turn left, continue for 16.4 meters and taking about 11.8 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
