Head south, continue for 17.7 meters and taking about 12.7 seconds.
Turn right, continue for 76.2 meters and taking about 54.8 seconds.
Turn left, continue for 5.5 meters and taking about 4.0 seconds.
Turn right onto Strathmore Boulevard on Strathmore Boulevard, continue for 54.7 meters and taking about 39.4 seconds.
Turn left, continue for 5.0 meters and taking about 3.6 seconds.
Turn right, continue for 23.7 meters and taking about 17.1 seconds.
Turn left, continue for 39.4 meters and taking about 28.3 seconds.
Turn right onto Lane North Danforth East Caithness on Lane North Danforth East Caithness, continue for 216.8 meters and taking about 156.1 seconds.
Turn left, continue for 36.2 meters and taking about 26.1 seconds.
Turn right, continue for 3.2 meters and taking about 2.3 seconds.
Turn left, continue for 20.8 meters and taking about 15.0 seconds.
Turn right, continue for 22.4 meters and taking about 16.2 seconds.
Turn left, continue for 33.6 meters and taking about 24.2 seconds.
Turn right onto Ben Kerr Lane on Ben Kerr Lane, continue for 192.3 meters and taking about 138.5 seconds.
Turn left, continue for 29.7 meters and taking about 21.4 seconds.
Keep right, continue for 51.3 meters and taking about 36.9 seconds.
Keep right, continue for 217.3 meters and taking about 156.5 seconds.
Turn right, continue for 17.5 meters and taking about 12.6 seconds.
Turn left, continue for 8.7 meters and taking about 6.2 seconds.
Turn right onto Strathcona Avenue on Strathcona Avenue, continue for 83.4 meters and taking about 60.1 seconds.
Turn left onto Blake Street on Blake Street, continue for 256.4 meters and taking about 184.6 seconds.
Turn right, continue for 10.6 meters and taking about 7.6 seconds.
Turn left, continue for 114.2 meters and taking about 82.2 seconds.
Turn right, continue for 63.5 meters and taking about 45.7 seconds.
Turn left, continue for 69.7 meters and taking about 50.2 seconds.
Turn left, continue for 43.8 meters and taking about 31.6 seconds.
Turn sharp right, continue for 4.7 meters and taking about 3.4 seconds.
Turn sharp left, continue for 11.2 meters and taking about 8.1 seconds.
Turn right onto Kiswick Street on Kiswick Street, continue for 118.8 meters and taking about 85.5 seconds.
Turn left, continue for 20.3 meters and taking about 14.6 seconds.
Keep left, continue for 21.6 meters and taking about 15.5 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
