Head northeast, continue for 166.0 meters and taking about 119.5 seconds.
Turn left, continue for 41.7 meters and taking about 30.0 seconds.
Turn left, continue for 42.5 meters and taking about 30.6 seconds.
Turn left, continue for 61.1 meters and taking about 44.0 seconds.
Turn left, continue for 136.9 meters and taking about 98.6 seconds.
Turn right, continue for 316.3 meters and taking about 227.7 seconds.
Turn left, continue for 1.6 meters and taking about 1.2 seconds.
Turn right, continue for 16.0 meters and taking about 11.5 seconds.
Turn right, continue for 15.4 meters and taking about 11.1 seconds.
Turn left, continue for 387.3 meters and taking about 278.8 seconds.
Turn right, continue for 42.6 meters and taking about 30.7 seconds.
Turn left, continue for 16.5 meters and taking about 11.9 seconds.
Turn right, continue for 29.2 meters and taking about 21.0 seconds.
Turn left, continue for 192.5 meters and taking about 138.6 seconds.
Turn left, continue for 31.4 meters and taking about 22.6 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
