Head south, continue for 8.6 meters and taking about 6.2 seconds.
Turn left, continue for 843.8 meters and taking about 607.5 seconds.
Turn sharp left, continue for 20.9 meters and taking about 15.0 seconds.
Turn right, continue for 15.9 meters and taking about 11.5 seconds.
Turn left, continue for 38.5 meters and taking about 27.7 seconds.
Turn right, continue for 39.8 meters and taking about 28.6 seconds.
Turn right, continue for 3.6 meters and taking about 2.6 seconds.
Turn left, continue for 1.7 meters and taking about 1.2 seconds.
Turn left onto King Liberty Bridge on King Liberty Bridge, continue for 57.7 meters and taking about 41.6 seconds.
Turn left, continue for 4.2 meters and taking about 3.0 seconds.
Turn left, continue for 34.0 meters and taking about 24.5 seconds.
Turn left, continue for 421.6 meters and taking about 303.6 seconds.
Turn left, continue for 27.6 meters and taking about 19.9 seconds.
Turn right, continue for 15.4 meters and taking about 11.1 seconds.
Turn left, continue for 336.8 meters and taking about 242.5 seconds.
Turn right, continue for 18.4 meters and taking about 13.3 seconds.
Keep left, continue for 11.4 meters and taking about 8.2 seconds.
Keep left, continue for 2.3 meters and taking about 1.7 seconds.
Keep left, continue for 30.2 meters and taking about 21.8 seconds.
Turn right, continue for 28.7 meters and taking about 20.7 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
