Head south, continue for 183.1 meters and taking about 131.8 seconds.
Turn right, continue for 288.0 meters and taking about 207.4 seconds.
Turn left, continue for 100.8 meters and taking about 72.6 seconds.
Turn right, continue for 17.0 meters and taking about 12.3 seconds.
Turn left, continue for 120.5 meters and taking about 86.8 seconds.
Turn right, continue for 43.2 meters and taking about 31.1 seconds.
Turn left onto St Luke Lane on St Luke Lane, continue for 11.7 meters and taking about 8.4 seconds.
Turn right, continue for 48.8 meters and taking about 35.1 seconds.
Keep left, continue for 58.1 meters and taking about 41.8 seconds.
Turn left, continue for 54.2 meters and taking about 39.0 seconds.
Turn right, continue for 352.3 meters and taking about 253.7 seconds.
Turn left, continue for 120.4 meters and taking about 86.7 seconds.
Turn left, continue for 2.0 meters and taking about 1.4 seconds.
Turn right, continue for 59.3 meters and taking about 42.7 seconds.
Keep right, continue for 350.4 meters and taking about 252.3 seconds.
Turn left, continue for 11.3 meters and taking about 8.1 seconds.
Turn left, continue for 7.8 meters and taking about 5.6 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
