Head east, continue for 10.4 meters and taking about 7.5 seconds.
Turn right, continue for 55.8 meters and taking about 40.2 seconds.
Turn right, continue for 15.6 meters and taking about 11.3 seconds.
Turn left, continue for 259.0 meters and taking about 186.5 seconds.
Turn right, continue for 5.5 meters and taking about 4.0 seconds.
Turn left, continue for 14.2 meters and taking about 10.3 seconds.
Turn right, continue for 392.5 meters and taking about 282.6 seconds.
Turn left, continue for 190.7 meters and taking about 137.3 seconds.
Turn left, continue for 1.8 meters and taking about 1.3 seconds.
Turn right, continue for 9.4 meters and taking about 6.7 seconds.
Turn right onto Commercial Road on Commercial Road, continue for 11.7 meters and taking about 8.4 seconds.
Arrive at Commercial Road, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
