Head east, continue for 2.6 meters and taking about 1.9 seconds.
Turn left, continue for 52.3 meters and taking about 37.7 seconds.
Turn slight right, continue for 59.1 meters and taking about 42.6 seconds.
Keep left, continue for 45.4 meters and taking about 32.7 seconds.
Keep left, continue for 25.0 meters and taking about 18.0 seconds.
Turn slight right, continue for 8.3 meters and taking about 6.0 seconds.
Turn left, continue for 185.1 meters and taking about 133.2 seconds.
Keep left, continue for 214.2 meters and taking about 154.2 seconds.
Keep left, continue for 302.5 meters and taking about 217.8 seconds.
Turn right, continue for 195.0 meters and taking about 140.4 seconds.
Keep left, continue for 13.6 meters and taking about 9.8 seconds.
Turn left, continue for 2.0 meters and taking about 1.4 seconds.
Keep right, continue for 512.5 meters and taking about 369.0 seconds.
Keep left, continue for 119.5 meters and taking about 86.0 seconds.
Turn slight left, continue for 81.7 meters and taking about 58.8 seconds.
Keep left, continue for 13.9 meters and taking about 10.0 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
