Head west, continue for 129.4 meters and taking about 93.2 seconds.
Turn right, continue for 3.4 meters and taking about 2.5 seconds.
Turn slight left, continue for 83.4 meters and taking about 60.0 seconds.
Keep right, continue for 118.7 meters and taking about 85.5 seconds.
Turn left, continue for 79.7 meters and taking about 57.4 seconds.
Turn left, continue for 3.9 meters and taking about 2.8 seconds.
Turn right onto Crawford Street on Crawford Street, continue for 80.1 meters and taking about 57.7 seconds.
Turn left, continue for 5.0 meters and taking about 3.6 seconds.
Turn right, continue for 46.3 meters and taking about 33.4 seconds.
Turn right onto Sandra Shamas Lane on Sandra Shamas Lane, continue for 234.9 meters and taking about 169.1 seconds.
Turn left, continue for 49.9 meters and taking about 35.9 seconds.
Turn right onto Shaw Street on Shaw Street, continue for 6.1 meters and taking about 4.4 seconds.
Turn left, continue for 4.5 meters and taking about 3.2 seconds.
Turn right, continue for 45.0 meters and taking about 32.4 seconds.
Turn left, continue for 256.2 meters and taking about 184.4 seconds.
Turn left, continue for 60.5 meters and taking about 43.6 seconds.
Turn right, continue for 7.8 meters and taking about 5.6 seconds.
Turn left onto Hallam Street on Hallam Street, continue for 143.5 meters and taking about 103.3 seconds.
Turn right, continue for 241.9 meters and taking about 174.2 seconds.
Turn left onto Lane South Dupont East Delaware on Lane South Dupont East Delaware, continue for 4.8 meters and taking about 3.5 seconds.
Arrive at Lane South Dupont East Delaware, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
