Head south, continue for 57.0 meters and taking about 41.1 seconds.
Turn right, continue for 131.6 meters and taking about 94.7 seconds.
Turn left, continue for 259.4 meters and taking about 186.8 seconds.
Turn right, continue for 24.7 meters and taking about 17.8 seconds.
Turn left, continue for 54.1 meters and taking about 38.9 seconds.
Turn left, continue for 20.3 meters and taking about 14.6 seconds.
Turn slight right, continue for 11.9 meters and taking about 8.6 seconds.
Turn right, continue for 79.3 meters and taking about 57.1 seconds.
Turn left, continue for 68.4 meters and taking about 49.2 seconds.
Turn left, continue for 15.3 meters and taking about 11.0 seconds.
Turn right, continue for 14.0 meters and taking about 10.1 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
