Head east, continue for 67.5 meters and taking about 48.6 seconds.
Turn sharp right, continue for 1.8 meters and taking about 1.3 seconds.
Turn sharp left, continue for 8.1 meters and taking about 5.8 seconds.
Turn right, continue for 8.3 meters and taking about 6.0 seconds.
Turn left, continue for 19.1 meters and taking about 13.8 seconds.
Turn left, continue for 29.2 meters and taking about 21.0 seconds.
Keep right, continue for 12.6 meters and taking about 9.1 seconds.
Turn right, continue for 108.4 meters and taking about 78.1 seconds.
Turn sharp left, continue for 62.1 meters and taking about 44.7 seconds.
Continue straight, continue for 24.4 meters and taking about 17.6 seconds.
Continue straight, continue for 140.2 meters and taking about 100.9 seconds.
Keep right, continue for 12.7 meters and taking about 9.1 seconds.
Turn slight right, continue for 70.1 meters and taking about 50.4 seconds.
Turn right, continue for 28.0 meters and taking about 20.1 seconds.
Turn slight right, continue for 77.3 meters and taking about 55.7 seconds.
Keep right, continue for 533.2 meters and taking about 383.9 seconds.
Turn left, continue for 66.6 meters and taking about 47.9 seconds.
Turn left, continue for 26.0 meters and taking about 18.7 seconds.
Turn right, continue for 6.7 meters and taking about 4.8 seconds.
Turn right, continue for 10.4 meters and taking about 7.5 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
