Head north, continue for 8.5 meters and taking about 6.1 seconds.
Turn right, continue for 132.1 meters and taking about 95.1 seconds.
Keep left, continue for 58.5 meters and taking about 42.1 seconds.
Turn left, continue for 6.0 meters and taking about 4.3 seconds.
Turn right, continue for 92.8 meters and taking about 66.8 seconds.
Turn left, continue for 113.2 meters and taking about 81.5 seconds.
Keep left, continue for 13.9 meters and taking about 10.0 seconds.
Turn right onto King Liberty Bridge on King Liberty Bridge, continue for 57.7 meters and taking about 41.6 seconds.
Turn right, continue for 1.7 meters and taking about 1.2 seconds.
Turn right, continue for 3.6 meters and taking about 2.6 seconds.
Turn right, continue for 128.0 meters and taking about 92.2 seconds.
Turn left, continue for 17.1 meters and taking about 12.3 seconds.
Turn right, continue for 119.1 meters and taking about 85.8 seconds.
Turn sharp left onto Crawford Street on Crawford Street, continue for 185.9 meters and taking about 133.8 seconds.
Arrive at Crawford Street, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
