Head west, continue for 11.1 meters and taking about 8.0 seconds.
Turn left, continue for 22.3 meters and taking about 16.0 seconds.
Turn left, continue for 11.3 meters and taking about 8.1 seconds.
Turn left, continue for 67.0 meters and taking about 48.2 seconds.
Turn left, continue for 236.3 meters and taking about 170.2 seconds.
Turn left, continue for 142.3 meters and taking about 102.5 seconds.
Turn slight right, continue for 53.6 meters and taking about 38.6 seconds.
Turn left, continue for 325.9 meters and taking about 234.6 seconds.
Turn left, continue for 349.4 meters and taking about 251.6 seconds.
Keep right, continue for 9.7 meters and taking about 7.0 seconds.
Turn right, continue for 7.3 meters and taking about 5.3 seconds.
Continue straight onto Manitoba Street on Manitoba Street, continue for 256.3 meters and taking about 184.5 seconds.
Turn right, continue for 50.5 meters and taking about 36.4 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
