Head north, continue for 268.0 meters and taking about 193.0 seconds.
Turn left, continue for 4.1 meters and taking about 3.0 seconds.
Turn right, continue for 256.6 meters and taking about 184.7 seconds.
Turn left, continue for 2.0 meters and taking about 1.4 seconds.
Turn right, continue for 5.9 meters and taking about 4.3 seconds.
Turn left onto Lambertlodge Avenue on Lambertlodge Avenue, continue for 78.3 meters and taking about 56.4 seconds.
Turn right, continue for 9.9 meters and taking about 7.1 seconds.
Turn left, continue for 118.8 meters and taking about 85.6 seconds.
Turn slight left onto Melita Avenue on Melita Avenue, continue for 39.4 meters and taking about 28.3 seconds.
Turn right onto Larry Priestman Lane on Larry Priestman Lane, continue for 228.7 meters and taking about 164.7 seconds.
Turn right onto Shaw Street on Shaw Street, continue for 15.4 meters and taking about 11.1 seconds.
Turn left, continue for 5.1 meters and taking about 3.7 seconds.
Turn right, continue for 40.8 meters and taking about 29.3 seconds.
Turn left onto Marchmount Road on Marchmount Road, continue for 196.5 meters and taking about 141.5 seconds.
Turn right, continue for 71.7 meters and taking about 51.7 seconds.
Turn left, continue for 17.9 meters and taking about 12.9 seconds.
Turn right, continue for 17.0 meters and taking about 12.3 seconds.
Turn left, continue for 28.7 meters and taking about 20.7 seconds.
Keep left, continue for 91.5 meters and taking about 65.9 seconds.
Turn right, continue for 35.8 meters and taking about 25.8 seconds.
Turn left onto Lt. John Roberts Kenmure on Lt. John Roberts Kenmure, continue for 11.3 meters and taking about 8.1 seconds.
Turn right, continue for 39.6 meters and taking about 28.5 seconds.
Keep right, continue for 5.3 meters and taking about 3.8 seconds.
Turn left onto Regal Road on Regal Road, continue for 75.7 meters and taking about 54.5 seconds.
Turn right, continue for 6.0 meters and taking about 4.3 seconds.
Turn slight left, continue for 196.1 meters and taking about 141.2 seconds.
Keep left, continue for 120.5 meters and taking about 86.7 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
