Head east, continue for 14.4 meters and taking about 10.4 seconds.
Turn left, continue for 11.0 meters and taking about 7.9 seconds.
Turn right, continue for 20.9 meters and taking about 15.0 seconds.
Turn left, continue for 69.1 meters and taking about 49.7 seconds.
Turn sharp right, continue for 512.4 meters and taking about 368.9 seconds.
Keep left, continue for 42.5 meters and taking about 30.6 seconds.
Keep left, continue for 608.4 meters and taking about 438.1 seconds.
Turn right, continue for 25.1 meters and taking about 18.0 seconds.
Turn left, continue for 22.7 meters and taking about 16.3 seconds.
Turn right, continue for 3.5 meters and taking about 2.5 seconds.
Turn left, continue for 108.6 meters and taking about 78.2 seconds.
Turn right, continue for 8.6 meters and taking about 6.2 seconds.
Turn left onto Canniff Street on Canniff Street, continue for 104.4 meters and taking about 75.2 seconds.
Turn right, continue for 7.0 meters and taking about 5.0 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
