Head south, continue for 23.5 meters and taking about 16.9 seconds.
Turn left, continue for 21.0 meters and taking about 15.1 seconds.
Continue straight onto PATH on PATH, continue for 130.2 meters and taking about 93.7 seconds.
Turn right onto PATH on PATH, continue for 32.1 meters and taking about 23.1 seconds.
Turn left onto PATH on PATH, continue for 48.7 meters and taking about 35.1 seconds.
Turn right onto PATH on PATH, continue for 59.2 meters and taking about 42.6 seconds.
Turn right, continue for 19.5 meters and taking about 14.0 seconds.
Turn right, continue for 40.1 meters and taking about 28.9 seconds.
Turn left, continue for 18.0 meters and taking about 13.0 seconds.
Turn right, continue for 67.4 meters and taking about 48.5 seconds.
Turn left, continue for 13.8 meters and taking about 9.9 seconds.
Turn right, continue for 3.7 meters and taking about 2.7 seconds.
Turn left, continue for 169.2 meters and taking about 121.8 seconds.
Turn right, continue for 154.2 meters and taking about 111.0 seconds.
Turn left, continue for 21.5 meters and taking about 15.5 seconds.
Turn right, continue for 258.7 meters and taking about 186.3 seconds.
Keep left, continue for 14.7 meters and taking about 10.6 seconds.
Keep left, continue for 27.1 meters and taking about 19.5 seconds.
Keep left, continue for 180.2 meters and taking about 129.8 seconds.
Turn left, continue for 72.5 meters and taking about 52.2 seconds.
Turn right, continue for 32.2 meters and taking about 23.2 seconds.
Turn left, continue for 16.6 meters and taking about 12.0 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
