Head south, continue for 4.4 meters and taking about 3.2 seconds.
Turn left onto Boustead Avenue on Boustead Avenue, continue for 2.8 meters and taking about 2.0 seconds.
Turn right, continue for 4.7 meters and taking about 3.4 seconds.
Turn left, continue for 34.8 meters and taking about 25.0 seconds.
Turn right, continue for 921.4 meters and taking about 663.4 seconds.
Turn right, continue for 134.0 meters and taking about 96.4 seconds.
Turn left, continue for 4.0 meters and taking about 2.9 seconds.
Turn right onto Wright Avenue on Wright Avenue, continue for 26.0 meters and taking about 18.7 seconds.
Turn left, continue for 3.7 meters and taking about 2.6 seconds.
Turn right, continue for 12.6 meters and taking about 9.1 seconds.
Turn left, continue for 39.3 meters and taking about 28.3 seconds.
Turn right, continue for 4.8 meters and taking about 3.5 seconds.
Turn left onto Sunnyside Avenue on Sunnyside Avenue, continue for 33.8 meters and taking about 24.4 seconds.
Arrive at Sunnyside Avenue, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
