Head east, continue for 39.0 meters and taking about 28.1 seconds.
Turn slight right, continue for 5.4 meters and taking about 3.9 seconds.
Turn left onto Grange Avenue on Grange Avenue, continue for 11.2 meters and taking about 8.1 seconds.
Turn right, continue for 113.7 meters and taking about 81.8 seconds.
Turn left, continue for 89.0 meters and taking about 64.1 seconds.
Turn right, continue for 39.6 meters and taking about 28.5 seconds.
Turn left, continue for 10.3 meters and taking about 7.4 seconds.
Turn right, continue for 38.6 meters and taking about 27.8 seconds.
Turn left, continue for 78.9 meters and taking about 56.8 seconds.
Turn left, continue for 41.4 meters and taking about 29.8 seconds.
Turn right, continue for 8.2 meters and taking about 5.9 seconds.
Turn left, continue for 79.6 meters and taking about 57.3 seconds.
Turn right, continue for 61.7 meters and taking about 44.4 seconds.
Turn left, continue for 80.0 meters and taking about 57.6 seconds.
Turn right onto John Street on John Street, continue for 24.1 meters and taking about 17.4 seconds.
Turn left onto Renfrew Place on Renfrew Place, continue for 6.2 meters and taking about 4.5 seconds.
Turn right, continue for 459.4 meters and taking about 330.8 seconds.
Turn left, continue for 70.0 meters and taking about 50.4 seconds.
Turn right, continue for 47.9 meters and taking about 34.5 seconds.
Turn left, continue for 10.6 meters and taking about 7.7 seconds.
Continue straight, continue for 15.2 meters and taking about 11.0 seconds.
Continue straight onto PATH on PATH, continue for 32.7 meters and taking about 23.5 seconds.
Turn left onto PATH on PATH, continue for 42.9 meters and taking about 30.9 seconds.
Keep left, continue for 8.0 meters and taking about 5.7 seconds.
Turn left, continue for 5.0 meters and taking about 3.6 seconds.
Turn right, continue for 15.1 meters and taking about 10.9 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
