Head west, continue for 44.5 meters and taking about 32.1 seconds.
Turn right, continue for 55.1 meters and taking about 39.7 seconds.
Turn left, continue for 14.3 meters and taking about 10.3 seconds.
Turn right, continue for 58.8 meters and taking about 42.3 seconds.
Turn left, continue for 20.4 meters and taking about 14.7 seconds.
Turn right, continue for 85.3 meters and taking about 61.4 seconds.
Turn left, continue for 229.2 meters and taking about 165.1 seconds.
Turn right, continue for 4.9 meters and taking about 3.5 seconds.
Turn left onto Markham Street on Markham Street, continue for 128.4 meters and taking about 92.5 seconds.
Turn right onto Robinson Terrace on Robinson Terrace, continue for 4.3 meters and taking about 3.1 seconds.
Turn left, continue for 36.0 meters and taking about 25.9 seconds.
Turn right onto Robinson Street on Robinson Street, continue for 90.4 meters and taking about 65.1 seconds.
Turn left, continue for 47.7 meters and taking about 34.3 seconds.
Turn right, continue for 50.2 meters and taking about 36.1 seconds.
Turn left, continue for 65.5 meters and taking about 47.2 seconds.
Turn right onto Euclid Place on Euclid Place, continue for 15.4 meters and taking about 11.1 seconds.
Arrive at Euclid Place, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
