Head north, continue for 132.4 meters and taking about 95.4 seconds.
Turn slight right, continue for 19.8 meters and taking about 14.2 seconds.
Turn slight right, continue for 5.7 meters and taking about 4.1 seconds.
Keep left, continue for 189.5 meters and taking about 136.4 seconds.
Turn left, continue for 417.9 meters and taking about 300.9 seconds.
Turn right, continue for 18.0 meters and taking about 12.9 seconds.
Turn left, continue for 62.9 meters and taking about 45.3 seconds.
Turn left, continue for 44.1 meters and taking about 31.7 seconds.
Turn left, continue for 54.1 meters and taking about 38.9 seconds.
Turn left, continue for 3.4 meters and taking about 2.4 seconds.
Turn right, continue for 3.9 meters and taking about 2.8 seconds.
Continue straight onto Pepler Avenue on Pepler Avenue, continue for 8.0 meters and taking about 5.7 seconds.
Turn left, continue for 5.9 meters and taking about 4.3 seconds.
Turn sharp right, continue for 89.4 meters and taking about 64.4 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
