Name: Metcalfe Street, Instruction: Head south on Metcalfe Street, Distance: 75.3 meters, Time: 54.2 seconds
Name: -, Instruction: Turn right, Distance: 5.8 meters, Time: 4.2 seconds
Name: -, Instruction: Turn slight left, Distance: 61.2 meters, Time: 44.0 seconds
Name: Broadcast Lane, Instruction: Turn left onto Broadcast Lane, Distance: 9.5 meters, Time: 6.9 seconds
Name: -, Instruction: Turn right, Distance: 37.1 meters, Time: 26.7 seconds
Name: -, Instruction: Turn left, Distance: 275.9 meters, Time: 198.6 seconds
Name: -, Instruction: Keep right, Distance: 876.7 meters, Time: 631.2 seconds
Name: -, Instruction: Turn slight right, Distance: 1.9 meters, Time: 1.3 seconds
Name: -, Instruction: Turn slight left, Distance: 92.6 meters, Time: 66.7 seconds
Name: -, Instruction: Turn left, Distance: 1.9 meters, Time: 1.4 seconds
Name: -, Instruction: Turn right, Distance: 18.6 meters, Time: 13.4 seconds
Name: -, Instruction: Keep right, Distance: 24.2 meters, Time: 17.4 seconds
Name: -, Instruction: Turn slight left, Distance: 89.4 meters, Time: 64.4 seconds
Name: -, Instruction: Turn right, Distance: 93.7 meters, Time: 67.4 seconds
Name: -, Instruction: Turn left, Distance: 25.8 meters, Time: 18.6 seconds
Name: -, Instruction: Turn right, Distance: 8.0 meters, Time: 5.8 seconds
Name: Berkeley Street, Instruction: Turn left onto Berkeley Street, Distance: 115.9 meters, Time: 83.4 seconds
Name: Nicholson Lane, Instruction: Turn right onto Nicholson Lane, Distance: 7.1 meters, Time: 5.1 seconds
Name: -, Instruction: Arrive at Nicholson Lane, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
