Head west, continue for 13.4 meters and taking about 9.6 seconds.
Turn right, continue for 4.0 meters and taking about 2.9 seconds.
Turn left onto Virginia Avenue on Virginia Avenue, continue for 493.8 meters and taking about 355.5 seconds.
Turn left, continue for 84.4 meters and taking about 60.8 seconds.
Turn right, continue for 15.9 meters and taking about 11.5 seconds.
Keep right, continue for 5.7 meters and taking about 4.1 seconds.
Keep right, continue for 7.0 meters and taking about 5.1 seconds.
Turn left, continue for 81.1 meters and taking about 58.4 seconds.
Turn right onto Barker Avenue on Barker Avenue, continue for 126.5 meters and taking about 91.1 seconds.
Turn left, continue for 7.2 meters and taking about 5.2 seconds.
Turn right, continue for 6.5 meters and taking about 4.7 seconds.
Turn left onto Binswood Avenue on Binswood Avenue, continue for 90.7 meters and taking about 65.3 seconds.
Turn right, continue for 88.0 meters and taking about 63.4 seconds.
Turn slight right, continue for 2.7 meters and taking about 1.9 seconds.
Keep left, continue for 13.4 meters and taking about 9.6 seconds.
Turn left, continue for 72.8 meters and taking about 52.4 seconds.
Keep left, continue for 81.6 meters and taking about 58.7 seconds.
Keep left, continue for 89.9 meters and taking about 64.7 seconds.
Turn sharp left, continue for 17.5 meters and taking about 12.6 seconds.
Turn slight right, continue for 3.0 meters and taking about 2.1 seconds.
Turn slight left, continue for 45.7 meters and taking about 32.9 seconds.
Keep right, continue for 81.1 meters and taking about 58.4 seconds.
Keep left, continue for 71.3 meters and taking about 51.4 seconds.
Turn right onto Sammon Avenue on Sammon Avenue, continue for 9.6 meters and taking about 6.9 seconds.
Arrive at Sammon Avenue, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
