Head west, continue for 3.2 meters and taking about 2.3 seconds.
Turn right, continue for 69.9 meters and taking about 50.3 seconds.
Turn left, continue for 15.3 meters and taking about 11.0 seconds.
Turn right, continue for 569.8 meters and taking about 410.3 seconds.
Turn left, continue for 31.3 meters and taking about 22.6 seconds.
Turn right, continue for 126.0 meters and taking about 90.7 seconds.
Turn left, continue for 5.0 meters and taking about 3.6 seconds.
Turn right onto King's College Road on King's College Road, continue for 57.8 meters and taking about 41.6 seconds.
Continue straight onto King's College Circle on King's College Circle, continue for 38.9 meters and taking about 28.0 seconds.
Turn right onto King's College Circle on King's College Circle, continue for 78.9 meters and taking about 56.8 seconds.
Turn slight left onto King's College Circle on King's College Circle, continue for 124.8 meters and taking about 89.8 seconds.
Keep right onto King's College Circle on King's College Circle, continue for 17.7 meters and taking about 12.7 seconds.
Continue straight onto Hart House Circle on Hart House Circle, continue for 101.4 meters and taking about 73.0 seconds.
Continue straight, continue for 144.4 meters and taking about 103.9 seconds.
Turn left, continue for 6.7 meters and taking about 4.8 seconds.
Turn right, continue for 18.2 meters and taking about 13.1 seconds.
Turn left, continue for 87.7 meters and taking about 63.1 seconds.
Turn right, continue for 23.4 meters and taking about 16.8 seconds.
Turn right, continue for 10.8 meters and taking about 7.8 seconds.
Turn left, continue for 12.5 meters and taking about 9.0 seconds.
Turn right, continue for 21.3 meters and taking about 15.3 seconds.
Turn left, continue for 16.6 meters and taking about 11.9 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
