Head west, continue for 139.6 meters and taking about 100.5 seconds.
Turn left, continue for 44.3 meters and taking about 31.9 seconds.
Turn right, continue for 52.3 meters and taking about 37.7 seconds.
Turn right onto Gabian Way on Gabian Way, continue for 26.2 meters and taking about 18.9 seconds.
Turn left, continue for 9.9 meters and taking about 7.1 seconds.
Turn left, continue for 185.4 meters and taking about 133.5 seconds.
Turn left, continue for 22.6 meters and taking about 16.3 seconds.
Turn right, continue for 129.6 meters and taking about 93.3 seconds.
Keep right, continue for 8.5 meters and taking about 6.1 seconds.
Turn left onto Kane Avenue on Kane Avenue, continue for 37.9 meters and taking about 27.3 seconds.
Turn right, continue for 4.2 meters and taking about 3.0 seconds.
Turn left, continue for 55.6 meters and taking about 40.1 seconds.
Keep left, continue for 7.4 meters and taking about 5.3 seconds.
Turn right onto Cameron Avenue on Cameron Avenue, continue for 231.4 meters and taking about 166.6 seconds.
Turn left, continue for 4.0 meters and taking about 2.9 seconds.
Turn right, continue for 141.9 meters and taking about 102.2 seconds.
Turn slight left, continue for 86.9 meters and taking about 62.5 seconds.
Turn right, continue for 18.5 meters and taking about 13.4 seconds.
Turn right, continue for 7.5 meters and taking about 5.4 seconds.
Turn left onto Avon Drive on Avon Drive, continue for 179.3 meters and taking about 129.1 seconds.
Turn left onto Bicknell Avenue on Bicknell Avenue, continue for 489.6 meters and taking about 352.5 seconds.
Turn right, continue for 6.2 meters and taking about 4.5 seconds.
Turn slight left, continue for 3.7 meters and taking about 2.7 seconds.
Keep left, continue for 145.3 meters and taking about 104.6 seconds.
Turn right, continue for 11.3 meters and taking about 8.2 seconds.
Turn left, continue for 8.5 meters and taking about 6.1 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
