Head west, continue for 55.7 meters and taking about 40.1 seconds.
Turn left, continue for 6.0 meters and taking about 4.4 seconds.
Turn right, continue for 21.2 meters and taking about 15.3 seconds.
Turn right, continue for 365.9 meters and taking about 263.4 seconds.
Keep right, continue for 97.2 meters and taking about 70.0 seconds.
Keep left, continue for 57.9 meters and taking about 41.7 seconds.
Continue straight, continue for 22.5 meters and taking about 16.2 seconds.
Turn left, continue for 22.2 meters and taking about 16.0 seconds.
Turn right, continue for 376.4 meters and taking about 271.0 seconds.
Turn left, continue for 154.2 meters and taking about 111.0 seconds.
Keep right, continue for 67.2 meters and taking about 48.4 seconds.
Turn right, continue for 16.9 meters and taking about 12.1 seconds.
Turn left, continue for 166.5 meters and taking about 119.9 seconds.
Keep left, continue for 99.5 meters and taking about 71.7 seconds.
Turn right onto Highfield Road on Highfield Road, continue for 268.0 meters and taking about 192.9 seconds.
Turn left onto Hertle Avenue on Hertle Avenue, continue for 6.8 meters and taking about 4.9 seconds.
Arrive at Hertle Avenue, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
