Head north, continue for 30.3 meters and taking about 21.8 seconds.
Turn right, continue for 85.7 meters and taking about 61.7 seconds.
Turn sharp left, continue for 18.4 meters and taking about 13.3 seconds.
Turn slight right, continue for 33.1 meters and taking about 23.9 seconds.
Turn right onto Ditty Lane on Ditty Lane, continue for 16.3 meters and taking about 11.7 seconds.
Turn left, continue for 32.5 meters and taking about 23.4 seconds.
Turn right, continue for 529.9 meters and taking about 381.5 seconds.
Turn left, continue for 17.7 meters and taking about 12.8 seconds.
Turn right, continue for 226.4 meters and taking about 163.0 seconds.
Turn left, continue for 57.1 meters and taking about 41.1 seconds.
Turn right, continue for 10.3 meters and taking about 7.4 seconds.
Turn right, continue for 28.0 meters and taking about 20.1 seconds.
Turn left, continue for 52.8 meters and taking about 38.0 seconds.
Turn left, continue for 28.7 meters and taking about 20.7 seconds.
Turn right, continue for 8.0 meters and taking about 5.8 seconds.
Turn left, continue for 18.8 meters and taking about 13.5 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
