Head north, continue for 19.5 meters and taking about 14.0 seconds.
Turn left, continue for 62.3 meters and taking about 44.8 seconds.
Turn right, continue for 121.3 meters and taking about 87.4 seconds.
Keep left, continue for 9.1 meters and taking about 6.6 seconds.
Keep left, continue for 1.8 meters and taking about 1.3 seconds.
Turn left, continue for 27.5 meters and taking about 19.8 seconds.
Turn right, continue for 13.9 meters and taking about 10.0 seconds.
Turn left, continue for 43.3 meters and taking about 31.2 seconds.
Turn right, continue for 187.2 meters and taking about 134.8 seconds.
Turn left, continue for 3.9 meters and taking about 2.8 seconds.
Turn right, continue for 23.1 meters and taking about 16.6 seconds.
Turn sharp left, continue for 3.8 meters and taking about 2.7 seconds.
Turn right, continue for 8.0 meters and taking about 5.7 seconds.
Turn left, continue for 24.9 meters and taking about 17.9 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
