Head west, continue for 12.0 meters and taking about 8.7 seconds.
Turn left onto PATH on PATH, continue for 11.6 meters and taking about 8.3 seconds.
Turn left onto PATH on PATH, continue for 48.8 meters and taking about 35.1 seconds.
Continue straight, continue for 13.5 meters and taking about 9.8 seconds.
Continue straight onto PATH on PATH, continue for 93.1 meters and taking about 67.0 seconds.
Turn left, continue for 44.6 meters and taking about 32.1 seconds.
Turn right, continue for 215.1 meters and taking about 154.9 seconds.
Turn left, continue for 157.5 meters and taking about 113.4 seconds.
Keep right, continue for 87.7 meters and taking about 63.1 seconds.
Turn left, continue for 50.2 meters and taking about 36.2 seconds.
Turn right, continue for 8.7 meters and taking about 6.2 seconds.
Turn left onto Navy Wharf Court on Navy Wharf Court, continue for 50.3 meters and taking about 36.2 seconds.
Keep right onto Navy Wharf Court on Navy Wharf Court, continue for 63.9 meters and taking about 46.0 seconds.
Turn right, continue for 8.4 meters and taking about 6.1 seconds.
Turn left, continue for 8.2 meters and taking about 5.9 seconds.
Turn right onto Mariner Terrace on Mariner Terrace, continue for 50.7 meters and taking about 36.5 seconds.
Turn right, continue for 38.4 meters and taking about 27.7 seconds.
Turn left, continue for 58.9 meters and taking about 42.4 seconds.
Turn right, continue for 99.0 meters and taking about 71.3 seconds.
Turn right, continue for 32.5 meters and taking about 23.4 seconds.
Turn slight left, continue for 1.4 meters and taking about 1.0 seconds.
Turn left, continue for 71.9 meters and taking about 51.8 seconds.
Turn right, continue for 25.6 meters and taking about 18.5 seconds.
Turn right, continue for 134.5 meters and taking about 96.9 seconds.
Turn left, continue for 13.8 meters and taking about 9.9 seconds.
Turn right, continue for 102.7 meters and taking about 74.0 seconds.
Keep left, continue for 18.3 meters and taking about 13.2 seconds.
Keep left, continue for 83.8 meters and taking about 60.3 seconds.
Turn sharp left, continue for 38.3 meters and taking about 27.6 seconds.
Keep left, continue for 19.5 meters and taking about 14.0 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
