Head west, continue for 82.8 meters and taking about 59.6 seconds.
Turn sharp left, continue for 214.5 meters and taking about 154.4 seconds.
Turn right, continue for 190.2 meters and taking about 136.9 seconds.
Keep left, continue for 319.6 meters and taking about 230.1 seconds.
Keep left, continue for 218.7 meters and taking about 157.4 seconds.
Turn right, continue for 179.4 meters and taking about 129.2 seconds.
Turn sharp left, continue for 9.2 meters and taking about 6.7 seconds.
Turn right, continue for 57.4 meters and taking about 41.3 seconds.
Turn right, continue for 5.9 meters and taking about 4.3 seconds.
Keep left, continue for 5.1 meters and taking about 3.6 seconds.
Turn left, continue for 26.5 meters and taking about 19.1 seconds.
Turn slight left, continue for 154.7 meters and taking about 111.4 seconds.
Turn left, continue for 17.3 meters and taking about 12.4 seconds.
Turn right, continue for 7.5 meters and taking about 5.4 seconds.
Turn right, continue for 74.2 meters and taking about 53.4 seconds.
Turn left, continue for 15.2 meters and taking about 11.0 seconds.
Turn right, continue for 89.2 meters and taking about 64.2 seconds.
Turn left, continue for 22.5 meters and taking about 16.2 seconds.
Turn right, continue for 57.0 meters and taking about 41.1 seconds.
Turn right, continue for 12.3 meters and taking about 8.9 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
