Head north, continue for 0.5 meters and taking about 0.4 seconds.
Turn left, continue for 9.5 meters and taking about 6.9 seconds.
Turn right, continue for 132.3 meters and taking about 95.3 seconds.
Turn left, continue for 225.5 meters and taking about 162.3 seconds.
Keep left, continue for 16.9 meters and taking about 12.1 seconds.
Keep right, continue for 102.4 meters and taking about 73.7 seconds.
Turn left onto Heenan Place on Heenan Place, continue for 27.0 meters and taking about 19.4 seconds.
Turn right, continue for 192.9 meters and taking about 138.9 seconds.
Keep left, continue for 310.6 meters and taking about 223.6 seconds.
Turn left, continue for 359.6 meters and taking about 258.9 seconds.
Turn right, continue for 18.8 meters and taking about 13.5 seconds.
Keep right, continue for 31.2 meters and taking about 22.5 seconds.
Turn right, continue for 7.0 meters and taking about 5.0 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
