Head west, continue for 102.0 meters and taking about 73.4 seconds.
Turn left, continue for 42.1 meters and taking about 30.3 seconds.
Turn left, continue for 139.8 meters and taking about 100.6 seconds.
Turn left, continue for 79.6 meters and taking about 57.3 seconds.
Turn right, continue for 15.9 meters and taking about 11.4 seconds.
Turn left, continue for 96.7 meters and taking about 69.6 seconds.
Turn right, continue for 594.7 meters and taking about 428.2 seconds.
Turn slight right, continue for 4.9 meters and taking about 3.5 seconds.
Keep left, continue for 11.1 meters and taking about 8.0 seconds.
Turn left, continue for 2.0 meters and taking about 1.4 seconds.
Keep right, continue for 173.9 meters and taking about 125.2 seconds.
Turn slight right, continue for 2.3 meters and taking about 1.7 seconds.
Keep left, continue for 16.7 meters and taking about 12.0 seconds.
Turn left, continue for 86.0 meters and taking about 61.9 seconds.
Keep left, continue for 13.5 meters and taking about 9.7 seconds.
Turn slight left, continue for 103.9 meters and taking about 74.8 seconds.
Turn sharp right, continue for 43.9 meters and taking about 31.6 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
