Head east, continue for 4.3 meters and taking about 3.1 seconds.
Turn sharp left onto Osborne Avenue on Osborne Avenue, continue for 20.3 meters and taking about 14.6 seconds.
Turn left, continue for 8.3 meters and taking about 6.0 seconds.
Turn right, continue for 88.7 meters and taking about 63.9 seconds.
Turn slight left, continue for 1.2 meters and taking about 0.9 seconds.
Keep right, continue for 39.4 meters and taking about 28.3 seconds.
Keep left, continue for 39.8 meters and taking about 28.6 seconds.
Continue straight onto GO Train Access on GO Train Access, continue for 164.0 meters and taking about 118.1 seconds.
Turn right, continue for 22.4 meters and taking about 16.1 seconds.
Turn right, continue for 25.0 meters and taking about 18.0 seconds.
Keep left, continue for 8.2 meters and taking about 5.9 seconds.
Turn left, continue for 2.2 meters and taking about 1.6 seconds.
Turn right, continue for 23.8 meters and taking about 17.1 seconds.
Turn right, continue for 6.5 meters and taking about 4.7 seconds.
Turn left, continue for 91.4 meters and taking about 65.8 seconds.
Turn right, continue for 131.5 meters and taking about 94.7 seconds.
Turn left, continue for 280.5 meters and taking about 202.0 seconds.
Turn right onto Westlake Avenue on Westlake Avenue, continue for 821.3 meters and taking about 591.3 seconds.
Turn left, continue for 10.6 meters and taking about 7.6 seconds.
Turn right, continue for 11.3 meters and taking about 8.2 seconds.
Turn right, continue for 3.4 meters and taking about 2.4 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
