Head north, continue for 34.3 meters and taking about 24.7 seconds.
Turn right, continue for 30.5 meters and taking about 22.0 seconds.
Turn left, continue for 17.6 meters and taking about 12.7 seconds.
Turn right, continue for 215.1 meters and taking about 154.8 seconds.
Turn right, continue for 9.2 meters and taking about 6.6 seconds.
Turn left, continue for 8.0 meters and taking about 5.8 seconds.
Turn right, continue for 55.4 meters and taking about 39.9 seconds.
Turn left onto Vanauley Walk on Vanauley Walk, continue for 55.0 meters and taking about 39.6 seconds.
Turn right onto Napanee Court on Napanee Court, continue for 86.5 meters and taking about 62.3 seconds.
Turn left, continue for 164.8 meters and taking about 118.6 seconds.
Turn left, continue for 101.7 meters and taking about 73.2 seconds.
Turn right, continue for 35.2 meters and taking about 25.3 seconds.
Turn left, continue for 135.3 meters and taking about 97.4 seconds.
Turn left, continue for 15.4 meters and taking about 11.1 seconds.
Turn right, continue for 3.3 meters and taking about 2.4 seconds.
Turn slight right, continue for 4.3 meters and taking about 3.1 seconds.
Turn left onto Huron Street on Huron Street, continue for 49.1 meters and taking about 35.3 seconds.
Turn right, continue for 4.0 meters and taking about 2.9 seconds.
Turn left, continue for 50.1 meters and taking about 36.0 seconds.
Keep right, continue for 144.2 meters and taking about 103.8 seconds.
Turn left, continue for 5.1 meters and taking about 3.7 seconds.
Turn right onto D'Arcy Street on D'Arcy Street, continue for 119.8 meters and taking about 86.2 seconds.
Turn left, continue for 4.7 meters and taking about 3.4 seconds.
Turn right, continue for 116.3 meters and taking about 83.7 seconds.
Turn left, continue for 59.5 meters and taking about 42.8 seconds.
Turn right, continue for 241.2 meters and taking about 173.7 seconds.
Turn left, continue for 140.6 meters and taking about 101.2 seconds.
Turn right, continue for 44.6 meters and taking about 32.1 seconds.
Turn left, continue for 51.9 meters and taking about 37.4 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
