Head northwest, continue for 2.9 meters and taking about 2.1 seconds.
Keep right, continue for 9.4 meters and taking about 6.8 seconds.
Turn slight right, continue for 2.0 meters and taking about 1.4 seconds.
Turn slight left, continue for 203.7 meters and taking about 146.6 seconds.
Keep left, continue for 41.0 meters and taking about 29.5 seconds.
Turn right, continue for 3.2 meters and taking about 2.3 seconds.
Turn left onto Pine Avenue on Pine Avenue, continue for 55.4 meters and taking about 39.9 seconds.
Turn right, continue for 4.4 meters and taking about 3.2 seconds.
Turn slight left, continue for 1.6 meters and taking about 1.1 seconds.
Keep left, continue for 9.4 meters and taking about 6.7 seconds.
Turn sharp right, continue for 304.2 meters and taking about 219.0 seconds.
Keep right, continue for 18.3 meters and taking about 13.2 seconds.
Keep left, continue for 124.4 meters and taking about 89.6 seconds.
Turn left, continue for 4.0 meters and taking about 2.9 seconds.
Turn right, continue for 15.3 meters and taking about 11.0 seconds.
Turn left, continue for 139.5 meters and taking about 100.4 seconds.
Keep left, continue for 6.4 meters and taking about 4.6 seconds.
Turn right onto Malvern Avenue on Malvern Avenue, continue for 88.8 meters and taking about 64.0 seconds.
Turn left, continue for 4.8 meters and taking about 3.5 seconds.
Turn right, continue for 67.0 meters and taking about 48.3 seconds.
Keep left, continue for 93.0 meters and taking about 66.9 seconds.
Turn right, continue for 9.0 meters and taking about 6.5 seconds.
Turn left, continue for 1.6 meters and taking about 1.2 seconds.
Keep left, continue for 5.4 meters and taking about 3.9 seconds.
Turn right onto Wayland Avenue on Wayland Avenue, continue for 198.7 meters and taking about 143.1 seconds.
Turn left, continue for 74.7 meters and taking about 53.8 seconds.
Turn right, continue for 3.7 meters and taking about 2.6 seconds.
Turn left onto Swanwick Avenue on Swanwick Avenue, continue for 34.5 meters and taking about 24.9 seconds.
Turn right, continue for 7.0 meters and taking about 5.0 seconds.
Turn left, continue for 120.3 meters and taking about 86.6 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
