Head southwest, continue for 111.2 meters and taking about 80.0 seconds.
Keep left, continue for 122.8 meters and taking about 88.4 seconds.
Turn sharp right, continue for 277.6 meters and taking about 199.9 seconds.
Turn left, continue for 14.3 meters and taking about 10.3 seconds.
Turn sharp right, continue for 52.6 meters and taking about 37.9 seconds.
Turn left, continue for 174.9 meters and taking about 125.9 seconds.
Turn slight left, continue for 9.7 meters and taking about 7.0 seconds.
Turn right, continue for 310.0 meters and taking about 223.2 seconds.
Turn left, continue for 110.7 meters and taking about 79.7 seconds.
Turn right, continue for 116.5 meters and taking about 83.9 seconds.
Turn left, continue for 5.1 meters and taking about 3.7 seconds.
Turn right onto Moberly Avenue on Moberly Avenue, continue for 34.4 meters and taking about 24.8 seconds.
Turn left, continue for 91.4 meters and taking about 65.8 seconds.
Turn right, continue for 60.9 meters and taking about 43.8 seconds.
Turn left onto Paul Estrela Lane on Paul Estrela Lane, continue for 6.0 meters and taking about 4.3 seconds.
Turn right onto Woodmount Avenue on Woodmount Avenue, continue for 50.4 meters and taking about 36.3 seconds.
Turn left, continue for 4.9 meters and taking about 3.5 seconds.
Turn right, continue for 88.2 meters and taking about 63.5 seconds.
Turn left onto Wolverleigh Boulevard on Wolverleigh Boulevard, continue for 100.4 meters and taking about 72.3 seconds.
Turn right, continue for 7.2 meters and taking about 5.2 seconds.
Turn left, continue for 51.4 meters and taking about 37.0 seconds.
Turn right, continue for 7.0 meters and taking about 5.0 seconds.
Turn left, continue for 28.9 meters and taking about 20.8 seconds.
Turn right, continue for 14.1 meters and taking about 10.2 seconds.
Turn right, continue for 53.8 meters and taking about 38.7 seconds.
Turn left, continue for 6.4 meters and taking about 4.6 seconds.
Turn right onto Glebemount Avenue on Glebemount Avenue, continue for 11.1 meters and taking about 8.0 seconds.
Turn left, continue for 7.2 meters and taking about 5.2 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
