Head north, continue for 8.7 meters and taking about 6.3 seconds.
Turn left, continue for 186.7 meters and taking about 134.4 seconds.
Keep left, continue for 10.9 meters and taking about 7.9 seconds.
Turn left, continue for 3.6 meters and taking about 2.6 seconds.
Turn slight left, continue for 16.7 meters and taking about 12.0 seconds.
Turn right, continue for 901.1 meters and taking about 648.8 seconds.
Turn left, continue for 183.8 meters and taking about 132.3 seconds.
Turn right, continue for 164.4 meters and taking about 118.4 seconds.
Turn right, continue for 17.1 meters and taking about 12.3 seconds.
Turn left, continue for 42.5 meters and taking about 30.6 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
