Head southwest, continue for 46.5 meters and taking about 33.5 seconds.
Turn right, continue for 712.5 meters and taking about 513.0 seconds.
Turn left, continue for 1.9 meters and taking about 1.3 seconds.
Turn right, continue for 390.6 meters and taking about 281.2 seconds.
Turn left, continue for 13.3 meters and taking about 9.6 seconds.
Turn left, continue for 21.1 meters and taking about 15.2 seconds.
Turn left, continue for 10.4 meters and taking about 7.5 seconds.
Turn right, continue for 59.9 meters and taking about 43.1 seconds.
Turn right, continue for 51.1 meters and taking about 36.8 seconds.
Turn right, continue for 4.7 meters and taking about 3.4 seconds.
Turn left, continue for 12.5 meters and taking about 9.0 seconds.
Turn right, continue for 16.6 meters and taking about 12.0 seconds.
Turn left, continue for 56.0 meters and taking about 40.3 seconds.
Turn right, continue for 5.0 meters and taking about 3.6 seconds.
Turn left onto Richmond Adelaide Centre Courtyard on Richmond Adelaide Centre Courtyard, continue for 49.2 meters and taking about 35.4 seconds.
Turn left, continue for 38.2 meters and taking about 27.5 seconds.
Turn right, continue for 18.0 meters and taking about 12.9 seconds.
Turn left, continue for 3.5 meters and taking about 2.6 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
