Head west, continue for 9.7 meters and taking about 7.0 seconds.
Turn right, continue for 54.7 meters and taking about 39.4 seconds.
Turn left, continue for 20.1 meters and taking about 14.5 seconds.
Turn sharp left, continue for 75.0 meters and taking about 54.0 seconds.
Turn left, continue for 109.7 meters and taking about 79.0 seconds.
Keep right, continue for 311.1 meters and taking about 224.0 seconds.
Turn right onto Glebemount Avenue on Glebemount Avenue, continue for 17.6 meters and taking about 12.6 seconds.
Turn left, continue for 132.5 meters and taking about 95.4 seconds.
Keep left, continue for 361.7 meters and taking about 260.4 seconds.
Keep left, continue for 15.3 meters and taking about 11.0 seconds.
Turn slight left, continue for 125.4 meters and taking about 90.3 seconds.
Keep left, continue for 62.9 meters and taking about 45.3 seconds.
Keep left, continue for 15.8 meters and taking about 11.4 seconds.
Turn slight left, continue for 126.4 meters and taking about 91.0 seconds.
Turn left, continue for 172.6 meters and taking about 124.3 seconds.
Keep left, continue for 72.9 meters and taking about 52.5 seconds.
Keep right, continue for 88.4 meters and taking about 63.6 seconds.
Keep right, continue for 5.9 meters and taking about 4.2 seconds.
Turn right onto Westlake Crescent on Westlake Crescent, continue for 5.9 meters and taking about 4.3 seconds.
Turn left onto Hamstead Avenue on Hamstead Avenue, continue for 109.1 meters and taking about 78.6 seconds.
Arrive at Hamstead Avenue, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
