Head south, continue for 58.1 meters and taking about 41.9 seconds.
Turn right, continue for 191.2 meters and taking about 137.7 seconds.
Keep left, continue for 9.4 meters and taking about 6.8 seconds.
Keep left, continue for 29.4 meters and taking about 21.2 seconds.
Turn right, continue for 3.2 meters and taking about 2.3 seconds.
Turn left, continue for 286.4 meters and taking about 206.2 seconds.
Turn right, continue for 48.5 meters and taking about 34.9 seconds.
Turn left onto Baldwin Street on Baldwin Street, continue for 236.4 meters and taking about 170.2 seconds.
Turn right, continue for 4.8 meters and taking about 3.4 seconds.
Turn left, continue for 287.3 meters and taking about 206.8 seconds.
Turn right, continue for 94.1 meters and taking about 67.7 seconds.
Turn left, continue for 35.3 meters and taking about 25.4 seconds.
Turn right, continue for 7.4 meters and taking about 5.3 seconds.
Turn left, continue for 443.1 meters and taking about 319.0 seconds.
Turn right, continue for 3.1 meters and taking about 2.2 seconds.
Turn left onto Nassau Street on Nassau Street, continue for 128.2 meters and taking about 92.3 seconds.
Turn right onto Alley Cat Lane on Alley Cat Lane, continue for 5.2 meters and taking about 3.8 seconds.
Arrive at Alley Cat Lane, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
