Head southwest, continue for 271.3 meters and taking about 195.3 seconds.
Keep right, continue for 42.4 meters and taking about 30.5 seconds.
Turn right, continue for 203.3 meters and taking about 146.4 seconds.
Keep right, continue for 84.1 meters and taking about 60.5 seconds.
Keep right, continue for 89.0 meters and taking about 64.1 seconds.
Keep right, continue for 174.7 meters and taking about 125.8 seconds.
Keep right, continue for 159.4 meters and taking about 114.7 seconds.
Keep right, continue for 82.3 meters and taking about 59.3 seconds.
Keep right, continue for 196.8 meters and taking about 141.7 seconds.
Turn left, continue for 64.3 meters and taking about 46.3 seconds.
Keep right, continue for 85.8 meters and taking about 61.8 seconds.
Turn left, continue for 5.4 meters and taking about 3.9 seconds.
Turn right onto Judith Drive on Judith Drive, continue for 74.7 meters and taking about 53.8 seconds.
Turn left onto Milton Road on Milton Road, continue for 128.1 meters and taking about 92.2 seconds.
Turn right onto Plains Road on Plains Road, continue for 172.1 meters and taking about 123.9 seconds.
Turn left onto Derwyn Road on Derwyn Road, continue for 162.3 meters and taking about 116.8 seconds.
Arrive at Derwyn Road, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
