Head south, continue for 45.7 meters and taking about 32.9 seconds.
Turn right, continue for 1.2 meters and taking about 0.8 seconds.
Turn left, continue for 28.8 meters and taking about 20.8 seconds.
Turn right, continue for 141.8 meters and taking about 102.1 seconds.
Turn left, continue for 109.4 meters and taking about 78.8 seconds.
Turn right, continue for 80.3 meters and taking about 57.8 seconds.
Turn left, continue for 51.6 meters and taking about 37.1 seconds.
Turn right, continue for 216.0 meters and taking about 155.5 seconds.
Turn slight right, continue for 14.5 meters and taking about 10.4 seconds.
Turn left, continue for 29.8 meters and taking about 21.5 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
