Name: St. Clair Avenue West, Instruction: Head east on St. Clair Avenue West, Distance: 9.3 meters, Time: 6.7 seconds
Name: -, Instruction: Turn left, Distance: 21.6 meters, Time: 15.6 seconds
Name: -, Instruction: Turn right, Distance: 53.0 meters, Time: 38.1 seconds
Name: Harvie Avenue, Instruction: Turn left onto Harvie Avenue, Distance: 238.1 meters, Time: 171.5 seconds
Name: Ascot Avenue, Instruction: Turn right onto Ascot Avenue, Distance: 100.5 meters, Time: 72.3 seconds
Name: Nairn Avenue, Instruction: Turn left onto Nairn Avenue, Distance: 447.5 meters, Time: 322.2 seconds
Name: -, Instruction: Turn right, Distance: 101.1 meters, Time: 72.8 seconds
Name: Earlscourt Avenue, Instruction: Turn left onto Earlscourt Avenue, Distance: 93.9 meters, Time: 67.6 seconds
Name: -, Instruction: Turn right, Distance: 47.8 meters, Time: 34.4 seconds
Name: -, Instruction: Turn left, Distance: 76.6 meters, Time: 55.2 seconds
Name: -, Instruction: Turn right, Distance: 142.7 meters, Time: 102.7 seconds
Name: -, Instruction: Keep right, Distance: 85.7 meters, Time: 61.7 seconds
Name: -, Instruction: Keep right, Distance: 86.0 meters, Time: 61.9 seconds
Name: -, Instruction: Keep right, Distance: 18.3 meters, Time: 13.2 seconds
Name: -, Instruction: Turn slight right, Distance: 84.8 meters, Time: 61.0 seconds
Name: Westmount Avenue, Instruction: Turn left onto Westmount Avenue, Distance: 36.8 meters, Time: 26.5 seconds
Name: -, Instruction: Arrive at Westmount Avenue, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
