Head east, continue for 94.8 meters and taking about 68.2 seconds.
Turn left, continue for 15.0 meters and taking about 10.8 seconds.
Keep right, continue for 55.3 meters and taking about 39.8 seconds.
Keep right, continue for 31.2 meters and taking about 22.5 seconds.
Turn right, continue for 4.1 meters and taking about 3.0 seconds.
Turn left, continue for 4.3 meters and taking about 3.1 seconds.
Turn left, continue for 3.7 meters and taking about 2.7 seconds.
Turn right, continue for 28.4 meters and taking about 20.4 seconds.
Turn left, continue for 7.7 meters and taking about 5.5 seconds.
Turn right, continue for 25.4 meters and taking about 18.3 seconds.
Turn left, continue for 32.9 meters and taking about 23.7 seconds.
Turn right, continue for 16.4 meters and taking about 11.8 seconds.
Turn left, continue for 38.0 meters and taking about 27.3 seconds.
Keep left, continue for 263.4 meters and taking about 189.6 seconds.
Keep left, continue for 72.3 meters and taking about 52.1 seconds.
Turn right, continue for 243.7 meters and taking about 175.4 seconds.
Turn left onto Breadalbane Street on Breadalbane Street, continue for 16.7 meters and taking about 12.0 seconds.
Turn right, continue for 278.0 meters and taking about 200.1 seconds.
Turn left, continue for 198.5 meters and taking about 142.9 seconds.
Turn right, continue for 17.9 meters and taking about 12.9 seconds.
Turn left, continue for 92.2 meters and taking about 66.4 seconds.
Turn right, continue for 215.1 meters and taking about 154.9 seconds.
Keep left, continue for 192.6 meters and taking about 138.7 seconds.
Turn left, continue for 18.8 meters and taking about 13.6 seconds.
Turn right, continue for 13.9 meters and taking about 10.0 seconds.
Turn left, continue for 13.6 meters and taking about 9.8 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
