Head west, continue for 10.7 meters and taking about 7.7 seconds.
Turn right, continue for 81.6 meters and taking about 58.8 seconds.
Keep right, continue for 164.2 meters and taking about 118.2 seconds.
Keep right, continue for 154.5 meters and taking about 111.2 seconds.
Turn left, continue for 1.7 meters and taking about 1.2 seconds.
Turn right, continue for 17.7 meters and taking about 12.7 seconds.
Turn left, continue for 126.9 meters and taking about 91.4 seconds.
Keep right, continue for 168.0 meters and taking about 121.0 seconds.
Turn left, continue for 1.6 meters and taking about 1.2 seconds.
Turn right, continue for 115.3 meters and taking about 83.0 seconds.
Turn left, continue for 210.3 meters and taking about 151.4 seconds.
Turn right, continue for 13.5 meters and taking about 9.7 seconds.
Turn left, continue for 45.5 meters and taking about 32.7 seconds.
Turn right, continue for 70.5 meters and taking about 50.8 seconds.
Turn right, continue for 2.3 meters and taking about 1.6 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
