Head south, continue for 96.6 meters and taking about 69.5 seconds.
Turn left, continue for 1.5 meters and taking about 1.1 seconds.
Keep right, continue for 9.7 meters and taking about 7.0 seconds.
Turn right, continue for 1.4 meters and taking about 1.0 seconds.
Turn left, continue for 101.4 meters and taking about 73.0 seconds.
Turn right, continue for 1.8 meters and taking about 1.3 seconds.
Turn slight left, continue for 11.4 meters and taking about 8.2 seconds.
Turn left, continue for 1.4 meters and taking about 1.0 seconds.
Turn slight left, continue for 143.9 meters and taking about 103.6 seconds.
Turn right, continue for 97.1 meters and taking about 69.9 seconds.
Turn left, continue for 0.7 meters and taking about 0.5 seconds.
Turn right, continue for 60.3 meters and taking about 43.4 seconds.
Turn left, continue for 4.0 meters and taking about 2.9 seconds.
Turn right onto Sunnyside Avenue on Sunnyside Avenue, continue for 430.1 meters and taking about 309.6 seconds.
Turn left, continue for 4.5 meters and taking about 3.3 seconds.
Turn right, continue for 7.2 meters and taking about 5.2 seconds.
Turn slight left, continue for 104.2 meters and taking about 75.1 seconds.
Turn right, continue for 3.7 meters and taking about 2.7 seconds.
Turn left onto Marion Street on Marion Street, continue for 16.0 meters and taking about 11.6 seconds.
Turn right, continue for 4.0 meters and taking about 2.8 seconds.
Turn left, continue for 30.3 meters and taking about 21.8 seconds.
Turn right, continue for 61.0 meters and taking about 43.9 seconds.
Turn right, continue for 38.3 meters and taking about 27.6 seconds.
Turn left, continue for 17.4 meters and taking about 12.5 seconds.
Turn right, continue for 84.2 meters and taking about 60.6 seconds.
Turn left, continue for 171.4 meters and taking about 123.4 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
