Head west, continue for 5.5 meters and taking about 4.0 seconds.
Turn right onto Chisholm Avenue on Chisholm Avenue, continue for 692.0 meters and taking about 498.3 seconds.
Turn left, continue for 5.8 meters and taking about 4.1 seconds.
Turn right, continue for 203.4 meters and taking about 146.5 seconds.
Turn right, continue for 10.5 meters and taking about 7.6 seconds.
Turn left, continue for 5.7 meters and taking about 4.1 seconds.
Keep right, continue for 74.8 meters and taking about 53.8 seconds.
Turn left onto Wallington Avenue on Wallington Avenue, continue for 70.4 meters and taking about 50.7 seconds.
Turn right onto Everett Crescent on Everett Crescent, continue for 5.7 meters and taking about 4.1 seconds.
Turn left, continue for 6.9 meters and taking about 5.0 seconds.
Turn right, continue for 74.1 meters and taking about 53.3 seconds.
Keep left, continue for 74.8 meters and taking about 53.9 seconds.
Keep right, continue for 39.3 meters and taking about 28.3 seconds.
Turn right, continue for 194.1 meters and taking about 139.7 seconds.
Turn right, continue for 14.4 meters and taking about 10.4 seconds.
Turn left, continue for 165.8 meters and taking about 119.4 seconds.
Keep right, continue for 30.2 meters and taking about 21.7 seconds.
Turn right, continue for 10.4 meters and taking about 7.5 seconds.
Turn slight right, continue for 17.7 meters and taking about 12.8 seconds.
Turn slight right, continue for 91.5 meters and taking about 65.9 seconds.
Turn right onto Cedarvale Avenue on Cedarvale Avenue, continue for 10.3 meters and taking about 7.4 seconds.
Arrive at Cedarvale Avenue, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
