Head north, continue for 37.3 meters and taking about 26.9 seconds.
Turn left, continue for 15.5 meters and taking about 11.2 seconds.
Turn right, continue for 14.2 meters and taking about 10.3 seconds.
Turn left, continue for 69.6 meters and taking about 50.1 seconds.
Turn right, continue for 158.7 meters and taking about 114.2 seconds.
Turn left, continue for 15.8 meters and taking about 11.4 seconds.
Keep right, continue for 37.3 meters and taking about 26.9 seconds.
Turn slight left, continue for 125.2 meters and taking about 90.1 seconds.
Keep left, continue for 325.1 meters and taking about 234.1 seconds.
Keep left, continue for 62.3 meters and taking about 44.8 seconds.
Turn right, continue for 53.4 meters and taking about 38.4 seconds.
Turn right, continue for 11.5 meters and taking about 8.3 seconds.
Arrive at your destination, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
