Head west, continue for 213.7 meters and taking about 153.8 seconds.
Turn sharp right, continue for 348.5 meters and taking about 250.9 seconds.
Turn left, continue for 16.3 meters and taking about 11.8 seconds.
Turn right, continue for 16.3 meters and taking about 11.7 seconds.
Turn right, continue for 15.4 meters and taking about 11.1 seconds.
Turn left, continue for 27.6 meters and taking about 19.9 seconds.
Turn right, continue for 421.6 meters and taking about 303.6 seconds.
Turn right, continue for 34.0 meters and taking about 24.5 seconds.
Turn right, continue for 4.2 meters and taking about 3.0 seconds.
Turn right onto King Liberty Bridge on King Liberty Bridge, continue for 57.7 meters and taking about 41.6 seconds.
Turn right, continue for 1.7 meters and taking about 1.2 seconds.
Turn right, continue for 3.6 meters and taking about 2.6 seconds.
Turn left, continue for 39.8 meters and taking about 28.6 seconds.
Turn left, continue for 38.5 meters and taking about 27.7 seconds.
Turn right, continue for 15.9 meters and taking about 11.5 seconds.
Turn left, continue for 1.3 meters and taking about 0.9 seconds.
Keep right, continue for 306.7 meters and taking about 220.8 seconds.
Turn sharp right, continue for 62.4 meters and taking about 44.9 seconds.
Turn left onto White Squirrel Way on White Squirrel Way, continue for 131.5 meters and taking about 94.7 seconds.
Turn right onto Stokes Street on Stokes Street, continue for 7.4 meters and taking about 5.3 seconds.
Arrive at Stokes Street, straight ahead, continue for 0.0 meters and taking about 0.0 seconds.
